"Track name","Activity type","Track description"
"5/6/2012 10:00 AM Seattle Center 1","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","47.620339","-122.350906","36.9000244140625","163.0","10","0.4378","2012-05-06T17:00:54.000Z",,,,
"1","2","47.620328","-122.350907","35.5","164.0","10","0.563","2012-05-06T17:00:55.000Z",,,,
"1","3","47.620318","-122.350906","34.0","165.0","10","0.6255","2012-05-06T17:00:56.000Z",,,,
"1","4","47.620304","-122.350903","31.5","168.0","10","0.3753","2012-05-06T17:00:58.000Z",,,,
"1","5","47.620312","-122.350894","30.20001220703125","79.0","10","0.2502","2012-05-06T17:01:00.000Z",,,,
"1","6","47.620321","-122.350893","30.4000244140625","51.0","10","0.4378","2012-05-06T17:01:01.000Z",,,,
"1","7","47.620332","-122.350893","30.5999755859375","33.0","10","0.563","2012-05-06T17:01:02.000Z",,,,
"1","8","47.620343","-122.350893","30.9000244140625","21.0","10","0.688","2012-05-06T17:01:03.000Z",,,,
"1","9","47.620352","-122.350892","31.0999755859375","14.0","10","0.688","2012-05-06T17:01:04.000Z",,,,
"1","10","47.620361","-122.350892","31.0999755859375","9.0","10","0.7506","2012-05-06T17:01:05.000Z",,,,
"1","11","47.620377","-122.35089","31.0","4.0","10","0.688","2012-05-06T17:01:07.000Z",,,,
"1","12","47.62039","-122.350888","31.20001220703125","0.0","10","0.5004","2012-05-06T17:01:09.000Z",,,,
"1","13","47.6204","-122.350888","31.5","350.0","10","0.5004","2012-05-06T17:01:11.000Z",,,,
"1","14","47.620412","-122.350895","32.0","340.0","10","0.688","2012-05-06T17:01:13.000Z",,,,
"1","15","47.620424","-122.350906","32.20001220703125","336.0","5","0.7506","2012-05-06T17:01:15.000Z",,,,
"1","16","47.620437","-122.350911","32.29998779296875","342.0","5","0.8131","2012-05-06T17:01:17.000Z",,,,
"1","17","47.620449","-122.350916","33.20001220703125","342.0","5","0.688","2012-05-06T17:01:19.000Z",,,,
"1","18","47.620463","-122.350913","33.9000244140625","357.0","5","0.8131","2012-05-06T17:01:21.000Z",,,,
"1","19","47.620475","-122.350914","34.4000244140625","355.0","5","0.7506","2012-05-06T17:01:23.000Z",,,,
"1","20","47.620488","-122.350911","34.9000244140625","1.0","5","0.8757","2012-05-06T17:01:25.000Z",,,,
"1","21","47.620503","-122.350907","34.9000244140625","6.0","5","0.8757","2012-05-06T17:01:27.000Z",,,,
"1","22","47.620519","-122.350905","35.0","5.0","5","0.8131","2012-05-06T17:01:29.000Z",,,,
"1","23","47.620533","-122.350909","35.20001220703125","0.0","5","0.8131","2012-05-06T17:01:31.000Z",,,,
