"Track name","Activity type","Track description"
"5/6/2012 10:05 AM Seattle Center 2","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","47.620148","-122.350748","29.70001220703125","138.0","5","0","2012-05-06T17:05:30.000Z",,,,
"1","2","47.620148","-122.350748","29.70001220703125","138.0","5","0","2012-05-06T17:05:30.000Z",,,,
"1","3","47.620148","-122.350748","29.70001220703125","138.0","5","0","2012-05-06T17:05:34.000Z",,,,
"1","4","47.620186","-122.350728","34.0999755859375","87.0","5","0.6255","2012-05-06T17:05:35.000Z",,,,
"1","5","47.620197","-122.350726","34.79998779296875","58.0","5","0.688","2012-05-06T17:05:36.000Z",,,,
"1","6","47.620209","-122.350725","35.5999755859375","23.0","5","0.4378","2012-05-06T17:05:38.000Z",,,,
"1","7","47.620223","-122.350728","35.9000244140625","12.0","5","0.3753","2012-05-06T17:05:40.000Z",,,,
"1","8","47.620239","-122.350726","36.4000244140625","16.0","5","0.563","2012-05-06T17:05:42.000Z",,,,
"1","9","47.620248","-122.350724","36.9000244140625","15.0","5","0.563","2012-05-06T17:05:43.000Z",,,,
"1","10","47.620258","-122.350726","37.0","11.0","5","0.8131","2012-05-06T17:05:44.000Z",,,,
"1","11","47.62027","-122.350731","36.79998779296875","6.0","5","0.8757","2012-05-06T17:05:45.000Z",,,,
"1","12","47.620284","-122.350737","36.4000244140625","3.0","5","1.0008","2012-05-06T17:05:46.000Z",,,,
"1","13","47.620296","-122.350742","36.4000244140625","2.0","5","1.0008","2012-05-06T17:05:47.000Z",,,,
"1","14","47.620308","-122.350745","36.4000244140625","0.0","5","1.0633","2012-05-06T17:05:48.000Z",,,,
"1","15","47.620321","-122.350749","36.70001220703125","359.0","5","1.251","2012-05-06T17:05:49.000Z",,,,
"1","16","47.620334","-122.350752","36.70001220703125","0.0","5","1.1884","2012-05-06T17:05:50.000Z",,,,
"1","17","47.620347","-122.350756","36.79998779296875","359.0","5","1.1884","2012-05-06T17:05:51.000Z",,,,
"1","18","47.620357","-122.350759","36.79998779296875","358.0","5","0.9383","2012-05-06T17:05:52.000Z",,,,
"1","19","47.620368","-122.350761","36.9000244140625","359.0","5","0.9383","2012-05-06T17:05:53.000Z",,,,
"1","20","47.620377","-122.350762","37.0999755859375","0.0","5","0.8131","2012-05-06T17:05:54.000Z",,,,
"1","21","47.620387","-122.350761","37.29998779296875","2.0","5","0.563","2012-05-06T17:05:56.000Z",,,,
"1","22","47.620406","-122.350765","37.79998779296875","0.0","5","0.8757","2012-05-06T17:05:58.000Z",,,,
"1","23","47.620419","-122.350769","37.9000244140625","357.0","5","0.9383","2012-05-06T17:05:59.000Z",,,,
"1","24","47.620438","-122.350775","38.29998779296875","355.0","5","0.7506","2012-05-06T17:06:01.000Z",,,,
"1","25","47.62045","-122.350777","38.5999755859375","356.0","5","0.9383","2012-05-06T17:06:02.000Z",,,,
"1","26","47.62046","-122.350778","38.79998779296875","357.0","5","0.8757","2012-05-06T17:06:03.000Z",,,,
"1","27","47.620474","-122.35078","39.0999755859375","358.0","5","0.8131","2012-05-06T17:06:05.000Z",,,,
"1","28","47.620485","-122.350785","39.0","354.0","5","0.8131","2012-05-06T17:06:07.000Z",,,,
"1","29","47.620501","-122.350791","39.0","357.0","5","0.8131","2012-05-06T17:06:09.000Z",,,,
"1","30","47.620512","-122.350788","39.0","6.0","5","0.7506","2012-05-06T17:06:11.000Z",,,,
"1","31","47.620522","-122.350786","39.29998779296875","9.0","5","0.8131","2012-05-06T17:06:12.000Z",,,,
"1","32","47.620535","-122.350785","39.5","9.0","5","1.0633","2012-05-06T17:06:13.000Z",,,,
"1","33","47.620555","-122.350779","39.70001220703125","12.0","5","0.9383","2012-05-06T17:06:15.000Z",,,,
"1","34","47.620564","-122.350778","39.70001220703125","13.0","5","0.8757","2012-05-06T17:06:16.000Z",,,,
"1","35","47.620573","-122.350776","39.70001220703125","13.0","5","0.9383","2012-05-06T17:06:17.000Z",,,,
"1","36","47.62059","-122.350772","39.70001220703125","14.0","5","0.9383","2012-05-06T17:06:19.000Z",,,,
"1","37","47.6206","-122.350772","39.70001220703125","13.0","5","0.8757","2012-05-06T17:06:20.000Z",,,,
"1","38","47.620616","-122.35077","39.70001220703125","14.0","5","0.9383","2012-05-06T17:06:22.000Z",,,,
"1","39","47.620632","-122.350769","39.9000244140625","14.0","5","0.9383","2012-05-06T17:06:24.000Z",,,,
"1","40","47.620647","-122.350769","39.79998779296875","11.0","10","0.8131","2012-05-06T17:06:26.000Z",,,,
"1","41","47.62066","-122.350769","39.70001220703125","9.0","10","1.0008","2012-05-06T17:06:27.000Z",,,,
"1","42","47.620671","-122.350768","39.5999755859375","10.0","10","0.6255","2012-05-06T17:06:29.000Z",,,,
"1","43","47.62068","-122.350773","39.29998779296875","8.0","10","0.5004","2012-05-06T17:06:31.000Z",,,,
"1","44","47.620696","-122.350782","39.29998779296875","358.0","10","0.8131","2012-05-06T17:06:33.000Z",,,,
"1","45","47.620705","-122.350785","39.4000244140625","356.0","10","0.7506","2012-05-06T17:06:34.000Z",,,,
"1","46","47.620717","-122.350786","39.29998779296875","357.0","10","0.9383","2012-05-06T17:06:35.000Z",,,,
"1","47","47.620732","-122.350779","39.29998779296875","3.0","10","0.8757","2012-05-06T17:06:37.000Z",,,,
"1","48","47.620749","-122.35078","39.0999755859375","7.0","10","0.8757","2012-05-06T17:06:39.000Z",,,,
"1","49","47.620764","-122.350778","38.9000244140625","9.0","10","0.8131","2012-05-06T17:06:41.000Z",,,,
"1","50","47.620774","-122.350781","39.0","5.0","10","1.0008","2012-05-06T17:06:42.000Z",,,,
"1","51","47.620783","-122.350779","39.0999755859375","3.0","10","1.0008","2012-05-06T17:06:43.000Z",,,,
"1","52","47.620795","-122.35078","39.0999755859375","1.0","10","0.7506","2012-05-06T17:06:44.000Z",,,,
"1","53","47.620811","-122.350781","39.0999755859375","1.0","10","0.8131","2012-05-06T17:06:45.000Z",,,,
"1","54","47.620823","-122.350781","39.0999755859375","1.0","10","0.7506","2012-05-06T17:06:46.000Z",,,,
"1","55","47.620834","-122.350777","38.9000244140625","3.0","10","0.8757","2012-05-06T17:06:47.000Z",,,,
"1","56","47.620841","-122.35079","38.5","339.0","10","0.4378","2012-05-06T17:06:50.000Z",,,,
"1","57","47.620837","-122.350806","38.29998779296875","312.0","10","0.563","2012-05-06T17:06:51.000Z",,,,
"1","58","47.620844","-122.350825","38.29998779296875","295.0","10","0.6255","2012-05-06T17:06:52.000Z",,,,
"1","59","47.62085","-122.350842","38.4000244140625","289.0","10","0.6255","2012-05-06T17:06:53.000Z",,,,
"1","60","47.620852","-122.350862","38.29998779296875","284.0","10","0.7506","2012-05-06T17:06:54.000Z",,,,
"1","61","47.620864","-122.350885","38.0","281.0","10","0.8131","2012-05-06T17:06:55.000Z",,,,
"1","62","47.62087","-122.350908","37.5","282.0","10","0.8757","2012-05-06T17:06:56.000Z",,,,
"1","63","47.620873","-122.350929","37.20001220703125","281.0","10","0.9383","2012-05-06T17:06:57.000Z",,,,
"1","64","47.62087","-122.350948","37.0999755859375","274.0","10","1.0008","2012-05-06T17:06:58.000Z",,,,
"1","65","47.620864","-122.350969","37.0","260.0","10","1.0008","2012-05-06T17:06:59.000Z",,,,
"1","66","47.620857","-122.350986","36.70001220703125","245.0","10","0.9383","2012-05-06T17:07:00.000Z",,,,
"1","67","47.620845","-122.351003","36.4000244140625","238.0","10","1.0008","2012-05-06T17:07:01.000Z",,,,
"1","68","47.620834","-122.351016","35.79998779296875","232.0","10","0.9383","2012-05-06T17:07:02.000Z",,,,
"1","69","47.620823","-122.351026","35.20001220703125","231.0","10","0.9383","2012-05-06T17:07:03.000Z",,,,
"1","70","47.620813","-122.351038","34.9000244140625","231.0","10","1.1884","2012-05-06T17:07:04.000Z",,,,
"1","71","47.620804","-122.351053","34.9000244140625","231.0","10","1.1884","2012-05-06T17:07:05.000Z",,,,
"1","72","47.620792","-122.351067","35.0999755859375","230.0","10","1.3135","2012-05-06T17:07:06.000Z",,,,
"1","73","47.620782","-122.35108","35.0999755859375","230.0","10","1.3135","2012-05-06T17:07:07.000Z",,,,
"1","74","47.620768","-122.351094","35.20001220703125","230.0","10","1.3761","2012-05-06T17:07:08.000Z",,,,
"1","75","47.620757","-122.351106","35.4000244140625","229.0","10","1.3135","2012-05-06T17:07:09.000Z",,,,
"1","76","47.620745","-122.351117","35.4000244140625","226.0","10","1.1884","2012-05-06T17:07:10.000Z",,,,
"1","77","47.620738","-122.351128","35.29998779296875","224.0","10","1.0633","2012-05-06T17:07:11.000Z",,,,
"1","78","47.620732","-122.351138","35.20001220703125","225.0","10","0.9383","2012-05-06T17:07:12.000Z",,,,
"1","79","47.620725","-122.351148","35.20001220703125","226.0","10","0.9383","2012-05-06T17:07:13.000Z",,,,
"1","80","47.620718","-122.35116","35.5","227.0","10","1.1884","2012-05-06T17:07:14.000Z",,,,
"1","81","47.62071","-122.35117","35.70001220703125","226.0","10","1.1884","2012-05-06T17:07:15.000Z",,,,
"1","82","47.620706","-122.351182","35.9000244140625","228.0","10","1.251","2012-05-06T17:07:16.000Z",,,,
"1","83","47.620697","-122.351197","36.0","227.0","10","1.3761","2012-05-06T17:07:17.000Z",,,,
"1","84","47.620689","-122.35121","36.20001220703125","227.0","10","1.3761","2012-05-06T17:07:18.000Z",,,,
"1","85","47.620681","-122.351224","36.4000244140625","226.0","10","1.4387","2012-05-06T17:07:19.000Z",,,,
"1","86","47.620677","-122.351239","36.4000244140625","228.0","10","1.3135","2012-05-06T17:07:20.000Z",,,,
"1","87","47.620686","-122.351258","35.0999755859375","232.0","10","1.0633","2012-05-06T17:07:21.000Z",,,,
"1","88","47.620681","-122.351274","34.9000244140625","237.0","10","1.0633","2012-05-06T17:07:22.000Z",,,,
"1","89","47.620676","-122.351292","34.70001220703125","238.0","10","1.251","2012-05-06T17:07:23.000Z",,,,
"1","90","47.620671","-122.351311","34.5999755859375","239.0","10","1.251","2012-05-06T17:07:24.000Z",,,,
"1","91","47.620671","-122.351341","34.9000244140625","241.0","10","1.251","2012-05-06T17:07:25.000Z",,,,
"1","92","47.620672","-122.351359","34.9000244140625","244.0","10","1.1259","2012-05-06T17:07:26.000Z",,,,
"1","93","47.620677","-122.351381","34.0999755859375","248.0","10","1.1259","2012-05-06T17:07:27.000Z",,,,
"1","94","47.620678","-122.351394","34.20001220703125","254.0","10","1.0008","2012-05-06T17:07:28.000Z",,,,
"1","95","47.620678","-122.351409","34.29998779296875","256.0","10","0.8757","2012-05-06T17:07:29.000Z",,,,
"1","96","47.620682","-122.351432","34.5","264.0","10","0.8131","2012-05-06T17:07:31.000Z",,,,
