"Track name","Activity type","Track description"
"5/6/2012 12:23 PM","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","47.620809","-122.351071","46.5999755859375","78.0","20","0","2012-05-06T19:23:38.000Z",,,,
"1","2","47.620788","-122.351094","47.9000244140625","72.0","15","0.688","2012-05-06T19:23:39.000Z",,,,
"1","3","47.620793","-122.351078","48.0","49.0","15","0.7506","2012-05-06T19:23:43.000Z",,,,
"1","4","47.62077","-122.351071","45.79998779296875","43.0","15","0","2012-05-06T19:23:47.000Z",,,,
"1","5","47.620757","-122.35106","45.70001220703125","90.0","15","0.1251","2012-05-06T19:23:48.000Z",,,,
"1","6","47.620739","-122.351057","45.5","90.0","15","0","2012-05-06T19:23:49.000Z",,,,
"1","7","47.620739","-122.351057","45.5","90.0","15","0","2012-05-06T19:23:49.000Z",,,,
"1","8","47.620739","-122.351057","45.5","90.0","10","0","2012-05-06T19:23:50.000Z",,,,
"1","9","47.620716","-122.351056","45.0999755859375","123.0","15","0.4378","2012-05-06T19:23:51.000Z",,,,
"1","10","47.620702","-122.351046","44.0999755859375","147.0","15","0.563","2012-05-06T19:23:53.000Z",,,,
"1","11","47.620691","-122.351046","43.9000244140625","146.0","15","0.563","2012-05-06T19:23:54.000Z",,,,
"1","12","47.620677","-122.351064","42.20001220703125","157.0","15","0.1877","2012-05-06T19:23:56.000Z",,,,
"1","13","47.620651","-122.351085","39.9000244140625","161.0","10","0.5004","2012-05-06T19:24:01.000Z",,,,
"1","14","47.620637","-122.351089","37.9000244140625","161.0","10","0.3128","2012-05-06T19:24:03.000Z",,,,
"1","15","47.620629","-122.351081","37.4000244140625","152.0","10","0","2012-05-06T19:24:05.000Z",,,,
"1","16","47.620629","-122.351081","37.4000244140625","152.0","10","0","2012-05-06T19:24:05.000Z",,,,
"1","17","47.620629","-122.351081","37.4000244140625","152.0","5","0","2012-05-06T19:24:43.000Z",,,,
"1","18","47.620721","-122.350885","46.5999755859375","104.0","5","0.3128","2012-05-06T19:24:44.000Z",,,,
"1","19","47.620737","-122.350894","45.4000244140625","40.0","5","0.4378","2012-05-06T19:24:46.000Z",,,,
"1","20","47.620738","-122.350912","45.0999755859375","353.0","5","0.2502","2012-05-06T19:24:48.000Z",,,,
"1","21","47.62072","-122.350974","42.5999755859375","296.0","5","0.5004","2012-05-06T19:24:57.000Z",,,,
"1","22","47.620699","-122.350996","41.0","213.0","5","0.4378","2012-05-06T19:25:09.000Z",,,,
"1","23","47.62069","-122.351011","40.20001220703125","218.0","5","0.4378","2012-05-06T19:25:14.000Z",,,,
"1","24","47.620682","-122.351027","39.79998779296875","233.0","5","0.4378","2012-05-06T19:25:16.000Z",,,,
"1","25","47.620676","-122.351041","39.5999755859375","241.0","5","0.4378","2012-05-06T19:25:18.000Z",,,,
"1","26","47.620652","-122.351092","38.70001220703125","320.0","5","0.4378","2012-05-06T19:26:29.000Z",,,,
"1","27","47.620643","-122.351083","38.5999755859375","70.0","5","0.563","2012-05-06T19:26:32.000Z",,,,
"1","28","47.62064","-122.351101","39.29998779296875","172.0","5","0.5004","2012-05-06T19:26:48.000Z",,,,
"1","29","47.620644","-122.351113","39.5999755859375","232.0","5","0.4378","2012-05-06T19:26:50.000Z",,,,
"1","30","47.620646","-122.35113","39.70001220703125","255.0","5","0.5004","2012-05-06T19:26:52.000Z",,,,
"1","31","47.620645","-122.351146","39.9000244140625","255.0","5","0.5004","2012-05-06T19:26:54.000Z",,,,
"1","32","47.620644","-122.351163","40.0","264.0","5","0.563","2012-05-06T19:26:56.000Z",,,,
"1","33","47.620647","-122.35118","40.0999755859375","271.0","5","0.5004","2012-05-06T19:26:58.000Z",,,,
"1","34","47.62065","-122.351195","40.20001220703125","270.0","5","0.4378","2012-05-06T19:27:00.000Z",,,,
"1","35","47.620654","-122.351214","39.9000244140625","272.0","5","0.563","2012-05-06T19:27:02.000Z",,,,
"1","36","47.620657","-122.351232","39.5999755859375","274.0","5","0.5004","2012-05-06T19:27:04.000Z",,,,
"1","37","47.620653","-122.351252","39.20001220703125","261.0","5","0.4378","2012-05-06T19:27:06.000Z",,,,
"1","38","47.620646","-122.351262","38.79998779296875","234.0","5","0.563","2012-05-06T19:27:08.000Z",,,,
"1","39","47.620635","-122.351282","38.20001220703125","221.0","5","0.563","2012-05-06T19:27:10.000Z",,,,
"1","40","47.620626","-122.351301","37.9000244140625","225.0","5","0.6255","2012-05-06T19:27:12.000Z",,,,
"1","41","47.620617","-122.351318","37.29998779296875","222.0","5","0.563","2012-05-06T19:27:14.000Z",,,,
