"Track name","Activity type","Track description"
"6/2/2012 11:52 AM Robothon","",""

"Marker name","Marker type","Marker description","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time"
"Waypoint","","","47.619937","-122.35012","37.79998779296875","196.0","10","0","2012-06-02T18:52:06.000Z"
"Waypoint","virt","","47.620141","-122.350158","32.5999755859375","345.0","5","0.4378","2012-06-02T18:52:50.000Z"
"Waypoint","","","47.620081","-122.351071","34.79998779296875","265.0","5","0.9383","2012-06-02T18:53:56.000Z"
"Waypoint","virtual","","47.620185","-122.351233","34.5","314.0","5","0.563","2012-06-02T18:54:30.000Z"
"Waypoint","","","47.620178","-122.351278","35.5999755859375","267.0","5","0.563","2012-06-02T18:54:46.000Z"
"Waypoint","","","47.620708","-122.350992","28.5999755859375","22.0","5","1.3135","2012-06-02T18:55:48.000Z"
"Waypoint","","","47.620613","-122.351327","31.0","246.0","5","0.8131","2012-06-02T18:56:20.000Z"

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","47.619937","-122.35012","37.79998779296875","196.0","10","0","2012-06-02T18:52:06.000Z",,,,
"1","2","47.619977","-122.35014","34.4000244140625","254.0","5","0.688","2012-06-02T18:52:38.000Z",,,,
"1","3","47.619988","-122.350139","34.0","291.0","5","0.9383","2012-06-02T18:52:39.000Z",,,,
"1","4","47.62","-122.35014","33.70001220703125","313.0","5","1.0633","2012-06-02T18:52:40.000Z",,,,
"1","5","47.62001","-122.350141","33.5999755859375","326.0","5","1.0008","2012-06-02T18:52:41.000Z",,,,
"1","6","47.620023","-122.350142","33.20001220703125","337.0","5","1.0008","2012-06-02T18:52:42.000Z",,,,
"1","7","47.620037","-122.350145","32.79998779296875","344.0","5","1.1259","2012-06-02T18:52:43.000Z",,,,
"1","8","47.620054","-122.350149","31.9000244140625","348.0","5","1.0008","2012-06-02T18:52:44.000Z",,,,
"1","9","47.620073","-122.350148","31.79998779296875","350.0","5","1.0008","2012-06-02T18:52:45.000Z",,,,
"1","10","47.620089","-122.35015","31.79998779296875","350.0","5","1.0633","2012-06-02T18:52:46.000Z",,,,
"1","11","47.620105","-122.350151","31.79998779296875","351.0","5","1.0633","2012-06-02T18:52:47.000Z",,,,
"1","12","47.620122","-122.350153","31.9000244140625","350.0","5","1.1259","2012-06-02T18:52:48.000Z",,,,
"1","13","47.620132","-122.350156","32.29998779296875","349.0","5","0.8131","2012-06-02T18:52:49.000Z",,,,
"1","14","47.620141","-122.350158","32.5999755859375","345.0","5","0.4378","2012-06-02T18:52:50.000Z",,,,
"1","15","47.620143","-122.350189","33.5","328.0","5","0.563","2012-06-02T18:53:12.000Z",,,,
"1","16","47.620146","-122.350217","34.20001220703125","292.0","5","1.1884","2012-06-02T18:53:14.000Z",,,,
"1","17","47.620145","-122.350238","34.0","282.0","5","1.251","2012-06-02T18:53:15.000Z",,,,
"1","18","47.620144","-122.350263","34.70001220703125","275.0","5","1.251","2012-06-02T18:53:16.000Z",,,,
"1","19","47.620142","-122.350284","34.5999755859375","271.0","5","1.3135","2012-06-02T18:53:17.000Z",,,,
"1","20","47.620141","-122.350305","34.4000244140625","270.0","5","1.3135","2012-06-02T18:53:18.000Z",,,,
